223
6615 3
7338 4
8061 3
8784 4
9507 3
10230 4
10953 3
11495 4
11856 4
12398 3
13121 4
13844 3
14567 4
15290 3
16013 4
17820 0
19175 1
20712 0
22880 1
26133 3
28663 3
29748 2
30471 2
31193 2
31916 2
32639 2
33001 2
33362 2
34085 2
34446 2
34808 2
35892 2
37338 2
39507 2
40953 0
41675 0
42398 0
43121 0
43844 1
44567 1
45290 1
47639 3
48904 3
50531 3
51796 3
52880 4
53603 4
54326 4
55049 4
55772 4
56495 4
57579 4
59025 1
60471 1
61916 1
63362 1
64446 0
65169 0
65892 0
66615 0
67700 0
68061 0
69145 2
70591 0
72037 0
73121 0
74567 2
75651 3
76013 3
76374 3
76736 3
77097 3
77459 3
78181 2
78543 3
78904 3
79266 3
79627 3
79989 3
80350 3
81073 2
81796 2
83242 2
83965 0
85049 2
85772 0
87940 3
88663 2
90109 3
90832 2
93001 2
93543 2
94266 2
94989 2
96615 2
97157 2
97880 2
98422 2
99507 4
100953 4
102398 4
103121 4
103844 4
105290 2
106736 3
108181 3
109266 3
109989 3
110712 3
112157 5
112880 5
113603 5
114326 5
115049 5
115591 5
115953 5
116495 5
117218 5
118302 2
120109 2
122820 2
127699 4
130230 2
131585 2
132760 2
133934 2
137097 0
139808 0
141434 0
143242 0
145049 0
149386 4
149748 4
150109 4
150471 4
150832 5
151916 3
153181 3
154085 3
154446 3
154808 3
156073 3
156977 3
157338 3
158061 4
158422 5
158784 4
159145 5
159507 4
159868 5
160230 4
160953 4
161314 5
161675 4
162037 5
162398 4
162760 5
163121 4
163483 5
164206 0
164928 0
165651 0
166374 0
167097 0
167820 0
169085 2
172157 0
173603 3
176314 3
176495 3
177579 4
181193 2
181555 2
182097 2
182459 2
182820 2
183181 2
183543 2
185531 0
185892 1
186254 0
186615 1
186977 0
187338 1
187700 0
188061 1
188422 0
188784 1
189145 0
189687 2
190230 0
190591 1
190953 0
191675 3
192398 4
193121 3
193844 4
194567 3
195290 4
196013 3
196555 4
196916 4
197459 3
198181 4
198904 3
199627 4
200350 3
201073 4
201796 3
202338 4
202700 4
203242 3
203784 4
204145 4
204687 3
207579 3
208121 4
208483 4
209025 3
216254 3
216796 4
217157 4
217700 4
222940 -1
